Invoice ID,Gender,Product line,Quantity,Spend,Predicted_Gender,Date
778-71-5554,0,Fashion accessories,1,16.2015,0,1/25/19
242-55-6721,0,Home and lifestyle,2,33.936,0,3/7/19
399-46-5918,1,Electronic accessories,8,722.232,1,2/28/19
106-35-6779,0,Home and lifestyle,2,93.114,0,3/27/19
635-40-6220,0,Health and beauty,8,752.64,0,2/7/19
817-48-8732,1,Home and lifestyle,10,759.675,1,1/20/19
120-06-4233,0,Electronic accessories,6,192.843,0,3/12/19
285-68-5083,1,Sports and travel,3,77.931,1,2/15/19
803-83-5989,0,Home and lifestyle,6,351.099,0,2/24/19
347-34-2234,1,Sports and travel,9,520.4115,1,2/3/19
199-75-8169,0,Sports and travel,10,166.005,0,3/6/19
853-23-2453,0,Health and beauty,4,318.108,0,2/14/19
877-22-3308,0,Health and beauty,10,166.635,0,3/13/19
838-78-4295,1,Health and beauty,2,70.287,1,2/10/19
109-28-2512,1,Fashion accessories,6,614.943,1,1/7/19
232-11-3025,0,Sports and travel,10,827.085,0,1/24/19
382-03-4532,1,Health and beauty,1,19.2465,1,2/2/19
393-65-2792,0,Food and beverages,10,939.54,0,1/6/19
796-12-2025,0,Fashion accessories,10,652.26,0,2/11/19
510-95-6347,1,Food and beverages,3,152.838,1,3/5/19
841-35-6630,1,Electronic accessories,6,478.233,1,3/9/19
287-21-9091,0,Home and lifestyle,9,705.6315,0,1/22/19
732-94-0499,1,Electronic accessories,10,437.325,1,1/13/19
263-10-3913,0,Fashion accessories,9,463.428,0,1/9/19
381-20-0914,1,Fashion accessories,9,189.0945,1,1/12/19
829-49-1914,1,Food and beverages,10,822.255,1,3/5/19
756-01-7507,1,Health and beauty,5,106.995,1,1/22/19
870-72-4431,1,Health and beauty,6,624.897,1,1/21/19
847-38-7188,1,Food and beverages,3,304.542,1,1/26/19
480-63-2856,0,Food and beverages,8,161.7,0,1/23/19
787-56-0757,1,Food and beverages,4,337.512,1,2/23/19
360-39-5055,0,Sports and travel,5,256.7775,0,3/9/19
730-50-9884,1,Sports and travel,7,610.491,1,3/5/19
362-58-8315,0,Fashion accessories,5,401.73,0,3/25/19
633-44-8566,0,Food and beverages,7,362.943,0,3/27/19
504-35-8843,0,Sports and travel,1,44.5935,0,1/2/19
318-68-5053,1,Health and beauty,6,485.037,1,2/27/19
565-80-5980,1,Home and lifestyle,4,198.996,1,1/23/19
225-32-0908,1,Sports and travel,10,471.03,1,1/26/19
873-51-0671,1,Sports and travel,7,161.553,1,1/10/19
152-08-9985,0,Health and beauty,9,608.202,0,3/12/19
512-91-0811,0,Health and beauty,1,94.2375,0,2/6/19
594-34-4444,0,Electronic accessories,1,102.018,0,3/8/19
766-85-7061,0,Health and beauty,10,922.635,0,3/29/19
871-39-9221,1,Electronic accessories,6,78.435,1,2/9/19
865-92-6136,0,Food and beverages,3,166.1625,0,3/23/19
733-01-9107,0,Home and lifestyle,6,521.01,0,3/5/19
163-56-7055,0,Fashion accessories,1,51.1455,0,3/26/19
189-98-2939,0,Fashion accessories,9,742.2975,0,3/1/19
551-21-3069,1,Electronic accessories,9,218.0115,1,2/1/19
212-62-1842,0,Food and beverages,6,367.038,0,3/28/19
716-39-1409,0,Health and beauty,7,223.0725,0,3/19/19
704-48-3927,0,Electronic accessories,10,931.035,0,1/12/19
628-34-3388,0,Fashion accessories,6,172.494,0,1/5/19
630-74-5166,0,Sports and travel,6,391.419,0,3/22/19
588-01-7461,1,Food and beverages,9,321.111,1,3/24/19
861-77-0145,0,Electronic accessories,10,860.685,0,3/3/19
479-26-8945,1,Sports and travel,2,34.629,1,2/5/19
210-67-5886,1,Health and beauty,3,309.3615,1,2/5/19
227-78-1148,1,Fashion accessories,7,535.374,1,2/15/19
645-44-1170,0,Home and lifestyle,9,548.7615,0,1/19/19
237-01-6122,1,Home and lifestyle,9,763.4655,1,2/1/19
225-98-1496,1,Fashion accessories,3,85.113,1,3/2/19
291-32-1427,0,Fashion accessories,5,115.185,0,3/5/19
659-65-8956,0,Fashion accessories,1,53.928,0,1/16/19
642-32-2990,1,Food and beverages,10,115.08,1,2/2/19
378-24-2715,0,Home and lifestyle,2,112.224,0,1/20/19
638-60-7125,1,Electronic accessories,8,836.304,1,2/14/19
659-36-1684,0,Sports and travel,7,419.832,0,1/12/19
219-22-9386,0,Sports and travel,9,944.622,0,3/9/19
336-78-2147,0,Home and lifestyle,8,536.844,0,3/13/19
268-27-6179,1,Fashion accessories,8,474.348,1,3/9/19
668-90-8900,1,Home and lifestyle,7,688.6215,1,3/10/19
870-54-3162,1,Sports and travel,5,169.3125,1,1/27/19
189-08-9157,1,Fashion accessories,9,299.8485,1,1/8/19
663-86-9076,1,Food and beverages,8,575.736,1,1/8/19
549-84-7482,1,Sports and travel,9,853.146,1,2/8/19
191-10-6171,1,Fashion accessories,7,291.207,1,1/25/19
802-70-5316,1,Sports and travel,6,580.419,1,3/6/19
695-51-0018,1,Sports and travel,4,146.328,1,2/10/19
590-83-4591,0,Electronic accessories,6,550.935,0,2/17/19
483-71-1164,1,Health and beauty,6,512.19,1,3/8/19
597-78-7908,0,Fashion accessories,3,284.193,0,2/18/19
700-81-1757,1,Electronic accessories,5,138.1275,1,1/18/19
354-39-5160,1,Home and lifestyle,6,216.846,1,2/18/19
241-72-9525,0,Sports and travel,10,545.055,0,2/16/19
575-30-8091,0,Sports and travel,8,609,0,3/16/19
731-81-9469,1,Sports and travel,10,942.9,1,1/23/19
280-17-4359,0,Health and beauty,10,950.25,0,1/25/19
338-65-2210,1,Health and beauty,10,720.3,1,2/5/19
488-25-4221,1,Food and beverages,1,31.9305,1,2/22/19
239-10-7476,1,Home and lifestyle,6,491.085,1,1/21/19
458-41-1477,1,Health and beauty,6,291.438,1,3/8/19
685-64-1609,1,Fashion accessories,10,316.47,1,2/10/19
568-90-5112,0,Health and beauty,4,277.788,0,3/19/19
262-47-2794,0,Home and lifestyle,8,603.624,0,3/6/19
238-49-0436,0,Health and beauty,8,272.664,0,3/27/19
608-96-3517,1,Fashion accessories,4,384.468,1,3/23/19
584-86-7256,0,Sports and travel,7,254.016,0,3/11/19
746-94-0204,0,Fashion accessories,9,786.618,0,1/29/19
214-17-6927,1,Food and beverages,6,103.824,1,2/7/19
400-89-4171,1,Sports and travel,8,680.148,1,1/28/19
782-95-9291,0,Food and beverages,5,484.5225,0,2/20/19
279-74-2924,0,Electronic accessories,1,75.7785,0,1/4/19
307-85-2293,0,Home and lifestyle,5,263.97,0,3/7/19
743-04-1105,0,Health and beauty,9,918.729,0,3/30/19
423-57-2993,0,Sports and travel,6,588.357,0,3/27/19
894-41-5205,1,Food and beverages,8,362.712,1,1/19/19
275-28-0149,0,Sports and travel,1,66.8745,0,2/25/19
101-17-6199,0,Food and beverages,7,336.5565,0,3/13/19
423-80-0988,0,Sports and travel,2,160.44,0,1/30/19
548-46-9322,0,Food and beverages,10,418.95,0,2/20/19
505-02-0892,0,Health and beauty,8,357.588,0,2/25/19
234-65-2137,0,Home and lifestyle,10,1003.59,0,1/16/19
687-47-8271,0,Fashion accessories,10,1039.29,0,2/8/19
796-32-9050,0,Food and beverages,6,323.064,0,1/19/19
105-31-1824,0,Sports and travel,7,510.972,0,2/1/19
249-42-3782,0,Health and beauty,5,367.5525,0,1/3/19
316-55-4634,0,Food and beverages,5,420.2625,0,1/26/19
733-33-4967,0,Electronic accessories,8,175.14,0,3/3/19
608-27-6295,0,Electronic accessories,6,333.207,0,1/19/19
414-12-7047,0,Food and beverages,8,166.236,0,1/18/19
827-26-2100,0,Home and lifestyle,9,319.788,0,3/21/19
175-54-2529,0,Food and beverages,8,186.228,0,3/3/19
139-52-2867,1,Fashion accessories,7,165.4485,1,2/13/19
407-63-8975,0,Food and beverages,6,465.444,0,3/23/19
342-65-4817,0,Health and beauty,3,273.42,0,1/28/19
130-98-8941,0,Fashion accessories,7,472.311,0,2/9/19
434-83-9547,0,Food and beverages,8,323.148,0,1/23/19
851-28-6367,0,Sports and travel,10,162.75,0,3/23/19
824-88-3614,0,Health and beauty,8,288.204,0,1/25/19
586-25-0848,1,Sports and travel,7,90.699,1,3/4/19
895-66-0685,0,Food and beverages,3,56.952,0,3/5/19
305-14-0245,1,Home and lifestyle,8,793.716,1,3/3/19
732-04-5373,0,Home and lifestyle,4,195.174,0,2/8/19
400-60-7251,0,Home and lifestyle,1,77.7735,0,2/10/19
593-65-1552,1,Home and lifestyle,4,293.202,1,1/28/19
284-34-9626,1,Home and lifestyle,3,242.676,1,2/11/19
437-58-8131,1,Fashion accessories,2,154.392,1,1/15/19
286-43-6208,1,Food and beverages,9,829.71,1,3/16/19
641-43-2399,0,Home and lifestyle,4,107.31,0,1/26/19
831-07-6050,0,Electronic accessories,5,171.7275,0,3/19/19
556-86-3144,1,Fashion accessories,1,78.0045,1,1/13/19
848-24-9445,0,Health and beauty,2,91.77,0,3/26/19
856-22-8149,1,Home and lifestyle,1,26.5545,1,3/23/19
699-01-4164,0,Health and beauty,4,174.3,0,3/12/19
420-11-4919,1,Food and beverages,5,374.7975,1,2/17/19
606-80-4905,1,Sports and travel,6,120.645,1,1/29/19
542-41-0513,1,Electronic accessories,4,241.458,1,3/15/19
426-39-2418,0,Electronic accessories,7,451.3635,0,1/14/19
875-46-5808,0,Health and beauty,10,271.95,0,2/6/19
394-43-4238,0,Home and lifestyle,5,93.2925,0,2/15/19
749-24-1565,1,Health and beauty,9,217.6335,1,1/3/19
672-51-8681,1,Electronic accessories,9,629.8425,1,1/4/19
263-87-5680,1,Home and lifestyle,10,299.565,1,3/18/19
573-58-9734,1,Fashion accessories,3,95.6655,1,3/28/19
817-69-8206,1,Electronic accessories,9,942.4485,1,3/2/19
888-02-0338,0,Electronic accessories,9,247.8735,0,1/25/19
677-11-0152,1,Food and beverages,9,881.307,1,1/16/19
142-63-6033,0,Home and lifestyle,5,484.89,0,3/20/19
656-16-1063,0,Sports and travel,3,146.223,0,1/4/19
891-58-8335,1,Sports and travel,7,217.6335,1,3/11/19
802-43-8934,0,Home and lifestyle,1,19.194,0,3/22/19
560-30-5617,1,Sports and travel,5,130.0425,1,3/24/19
319-74-2561,1,Electronic accessories,3,298.116,1,2/21/19
549-03-9315,0,Fashion accessories,8,796.908,0,2/12/19
790-29-1172,1,Food and beverages,3,180.621,1,3/10/19
239-36-3640,0,Electronic accessories,6,285.705,0,1/31/19
468-01-2051,0,Food and beverages,7,456.288,0,3/6/19
389-25-3394,0,Electronic accessories,5,62.0025,0,2/17/19
279-62-1445,1,Fashion accessories,1,13.167,1,2/21/19
213-72-6612,0,Food and beverages,2,90.825,0,3/20/19
746-68-6593,1,Sports and travel,2,183.036,1,1/11/19
836-82-5858,0,Health and beauty,9,655.5465,0,1/26/19
583-72-1480,0,Electronic accessories,4,155.652,0,1/31/19
466-61-5506,1,Electronic accessories,6,571.41,1,2/26/19
721-86-6247,1,Home and lifestyle,8,532.728,1,3/11/19
289-65-5721,1,Fashion accessories,2,170.877,1,1/26/19
545-46-3100,1,Electronic accessories,3,33.3585,1,3/12/19
418-02-5978,1,Health and beauty,9,794.6505,1,2/11/19
269-04-5750,0,Fashion accessories,4,310.044,0,2/21/19
157-13-5295,0,Health and beauty,10,545.37,0,3/9/19
645-78-8093,1,Sports and travel,2,195.594,1,1/20/19
211-30-9270,0,Health and beauty,5,91.4025,0,1/28/19
755-12-3214,1,Fashion accessories,5,232.155,1,3/5/19
346-84-3103,1,Electronic accessories,5,69.405,1,3/2/19
478-06-7835,0,Fashion accessories,1,94.1745,0,1/11/19
540-11-4336,0,Food and beverages,9,235.683,0,1/11/19
448-81-5016,0,Health and beauty,2,125.517,0,3/11/19
142-72-4741,0,Fashion accessories,2,195.72,0,2/28/19
217-58-1179,0,Home and lifestyle,4,263.13,0,1/5/19
376-02-8238,0,Home and lifestyle,8,788.508,0,2/2/19
530-90-9855,0,Home and lifestyle,8,399.756,0,1/1/19
866-05-7563,1,Electronic accessories,3,256.41,1,2/9/19
604-70-6476,0,Fashion accessories,5,94.185,0,1/23/19
799-71-1548,0,Electronic accessories,4,326.424,0,1/7/19
785-13-7708,0,Food and beverages,7,536.991,0,1/14/19
845-51-0542,0,Food and beverages,9,439.8975,0,2/2/19
662-47-5456,0,Fashion accessories,10,369.495,0,3/17/19
883-17-4236,1,Sports and travel,2,30.219,1,3/2/19
290-68-2984,0,Home and lifestyle,4,99.75,0,3/16/19
704-11-6354,0,Home and lifestyle,8,494.76,0,1/6/19
110-48-7033,0,Fashion accessories,4,137.004,0,1/29/19
366-93-0948,0,Electronic accessories,1,69.6675,0,1/31/19
729-09-9681,0,Home and lifestyle,6,163.233,0,2/5/19
151-16-1484,0,Electronic accessories,4,135.45,0,2/13/19
380-94-4661,0,Electronic accessories,4,276.948,0,2/7/19
850-41-9669,1,Electronic accessories,9,709.317,1,3/19/19
821-07-3596,1,Fashion accessories,4,69.09,1,3/7/19
655-85-5130,1,Fashion accessories,4,160.86,1,3/13/19
447-15-7839,1,Sports and travel,10,233.52,1,2/9/19
154-74-7179,0,Sports and travel,1,57.1725,0,2/26/19
253-12-6086,1,Sports and travel,7,723.24,1,3/12/19
808-65-0703,0,Home and lifestyle,4,148.974,0,3/14/19
571-94-0759,1,Food and beverages,10,783.3,1,1/8/19
144-51-6085,0,Home and lifestyle,4,297.108,0,1/5/19
731-14-2199,1,Home and lifestyle,10,373.17,1,1/4/19
783-09-1637,1,Sports and travel,5,354.0075,1,3/6/19
687-15-1097,1,Health and beauty,2,44.352,1,1/3/19
126-54-1082,1,Home and lifestyle,9,203.553,1,1/7/19
633-91-1052,1,Home and lifestyle,2,25.263,1,1/27/19
477-24-6490,1,Health and beauty,6,628.173,1,2/26/19
566-19-5475,0,Fashion accessories,7,352.5795,0,1/7/19
526-86-8552,1,Home and lifestyle,10,229.11,1,1/7/19
376-56-3573,1,Fashion accessories,4,400.764,1,2/2/19
537-72-0426,0,Fashion accessories,10,745.395,0,3/20/19
828-61-5674,0,Sports and travel,10,462.21,0,3/20/19
136-08-6195,1,Home and lifestyle,8,587.664,1,2/15/19
523-38-0215,0,Home and lifestyle,1,38.85,0,3/6/19
490-29-1201,1,Sports and travel,1,16.107,1,1/6/19
667-92-0055,0,Health and beauty,6,628.929,0,3/4/19
565-17-3836,1,Health and beauty,4,200.214,1,3/12/19
498-41-1961,0,Health and beauty,5,350.07,0,2/20/19
593-95-4461,0,Home and lifestyle,1,78.603,0,3/24/19
226-71-3580,1,Sports and travel,9,224.4375,1,1/31/19
283-79-9594,1,Food and beverages,7,356.5485,1,1/25/19
430-60-3493,1,Home and lifestyle,7,697.368,1,2/3/19
139-20-0155,0,Electronic accessories,10,423.15,0,1/24/19
558-80-4082,0,Electronic accessories,7,204.6975,0,3/14/19
278-97-7759,1,Electronic accessories,1,65.604,1,2/18/19
316-68-6352,1,Food and beverages,2,76.356,1,1/21/19
585-03-5943,0,Health and beauty,10,190.155,0,3/13/19
211-05-0490,1,Electronic accessories,5,272.58,1,3/3/19
727-75-6477,0,Electronic accessories,4,121.128,0,3/29/19
744-02-5987,0,Home and lifestyle,6,493.794,0,1/10/19
307-83-9164,0,Home and lifestyle,4,252.042,0,1/25/19
779-06-0012,1,Home and lifestyle,1,93.0405,1,1/19/19
446-47-6729,0,Fashion accessories,2,209.622,0,1/2/19
573-10-3877,0,Health and beauty,1,40.9605,0,3/12/19
735-06-4124,0,Food and beverages,1,51.0405,0,2/25/19
439-54-7422,1,Electronic accessories,4,214.998,1,3/18/19
396-90-2219,1,Electronic accessories,8,125.664,1,2/23/19
411-77-0180,0,Electronic accessories,7,530.67,0,3/26/19
286-01-5402,1,Sports and travel,7,295.6905,1,3/30/19
803-17-8013,1,Home and lifestyle,8,745.836,1,2/17/19
512-98-1403,1,Electronic accessories,3,83.412,1,3/21/19
848-42-2560,1,Fashion accessories,2,172.011,1,3/5/19
532-59-7201,0,Sports and travel,6,503.559,0,1/31/19
181-94-6432,0,Fashion accessories,2,145.593,0,2/5/19
870-76-1733,1,Food and beverages,5,74.7075,1,2/1/19
423-64-4619,1,Health and beauty,9,146.9475,1,3/7/19
227-07-4446,1,Electronic accessories,10,820.365,1,2/10/19
174-36-3675,0,Food and beverages,2,208.677,0,2/14/19
428-83-5800,1,Food and beverages,3,66.402,1,2/9/19
603-07-0961,0,Electronic accessories,5,392.6475,0,1/10/19
704-20-4138,1,Health and beauty,7,218.0745,1,3/11/19
787-15-1757,0,Health and beauty,4,185.094,0,2/18/19
649-11-3678,1,Food and beverages,9,216.6885,1,2/26/19
622-20-1945,1,Health and beauty,1,41.391,1,1/18/19
372-94-8041,0,Health and beauty,6,96.138,0,2/15/19
563-91-7120,1,Fashion accessories,5,324.2925,1,3/8/19
746-54-5508,0,Home and lifestyle,6,135.576,0,1/17/19
276-54-0879,0,Sports and travel,4,410.508,0,3/12/19
815-11-1168,0,Food and beverages,5,523.845,0,3/9/19
719-76-3868,0,Food and beverages,4,395.892,0,3/12/19
730-61-8757,0,Health and beauty,4,214.746,0,1/25/19
340-66-0321,0,Electronic accessories,4,152.712,0,3/25/19
868-81-1752,0,Home and lifestyle,9,208.089,0,2/7/19
634-97-8956,0,Food and beverages,3,103.635,0,2/17/19
566-71-1091,0,Fashion accessories,5,404.355,0,2/3/19
442-48-3607,0,Food and beverages,2,49.308,0,3/14/19
835-16-0096,0,Sports and travel,5,77.175,0,3/24/19
527-09-6272,1,Electronic accessories,5,149.3625,1,3/21/19
898-04-2717,0,Fashion accessories,9,721.98,0,3/19/19
692-27-8933,1,Sports and travel,6,365.085,1,2/24/19
633-09-3463,1,Electronic accessories,3,150.0975,1,3/28/19
374-17-3652,1,Food and beverages,9,404.649,1,2/5/19
378-07-7001,0,Electronic accessories,3,151.4835,0,2/10/19
433-75-6987,1,Health and beauty,7,411.3795,1,3/5/19
873-95-4984,1,Health and beauty,7,565.215,1,2/15/19
416-13-5917,1,Food and beverages,5,509.4075,1,1/30/19
150-89-8043,0,Sports and travel,3,140.6475,0,2/14/19
135-84-8019,1,Fashion accessories,9,736.4385,1,2/27/19
441-94-7118,0,Electronic accessories,1,75.5475,0,2/4/19
725-96-3778,1,Home and lifestyle,8,749.7,1,1/20/19
531-80-1784,0,Electronic accessories,7,191.247,0,3/28/19
400-45-1220,1,Health and beauty,10,141.75,1,2/27/19
860-79-0874,1,Fashion accessories,10,1042.65,1,2/15/19
834-61-8124,0,Electronic accessories,7,379.9215,0,1/26/19
115-99-4379,1,Fashion accessories,7,402.2655,1,3/14/19
565-67-6697,0,Home and lifestyle,9,255.15,0,3/2/19
320-49-6392,1,Electronic accessories,1,31.752,1,3/4/19
889-04-9723,1,Food and beverages,4,374.388,1,1/7/19
632-90-0281,1,Fashion accessories,10,394.275,1,3/8/19
554-42-2417,1,Sports and travel,10,1002.12,1,1/9/19
453-63-6187,0,Electronic accessories,3,86.625,0,3/1/19
578-80-7669,0,Sports and travel,1,78.7185,0,3/16/19
612-36-5536,0,Food and beverages,8,680.064,0,2/17/19
605-72-4132,1,Food and beverages,8,793.548,1,2/27/19
471-41-2823,0,Food and beverages,2,209.559,0,3/7/19
462-67-9126,0,Home and lifestyle,6,461.286,0,1/21/19
272-27-9238,1,Food and beverages,4,173.208,1,2/19/19
834-25-9262,1,Fashion accessories,4,343.056,1,1/6/19
122-61-9553,1,Electronic accessories,9,484.974,1,3/14/19
468-88-0009,0,Home and lifestyle,4,276.948,0,3/24/19
613-59-9758,1,Sports and travel,10,150.78,1,1/27/19
254-31-0042,0,Electronic accessories,9,203.175,0,3/6/19
201-86-2184,1,Electronic accessories,7,193.011,1,2/2/19
261-12-8671,1,Fashion accessories,2,128.016,1,1/25/19
730-70-9830,1,Home and lifestyle,6,441.693,1,3/14/19
382-25-8917,0,Fashion accessories,6,265.104,0,1/29/19
422-29-8786,1,Home and lifestyle,5,352.2225,1,1/3/19
667-23-5919,1,Fashion accessories,5,507.675,1,1/14/19
843-01-4703,1,Home and lifestyle,9,334.341,1,1/5/19
743-88-1662,0,Sports and travel,7,701.8515,0,2/22/19
595-86-2894,0,Fashion accessories,4,407.316,0,2/6/19
182-69-8360,1,Electronic accessories,4,99.33,1,1/30/19
289-15-7034,0,Sports and travel,4,345.786,0,1/11/19
462-78-5240,1,Electronic accessories,2,55.881,1,3/19/19
868-52-7573,1,Food and beverages,5,523.3725,1,1/14/19
153-58-4872,1,Food and beverages,4,314.538,1,3/1/19
662-72-2873,1,Food and beverages,5,214.935,1,1/6/19
525-88-7307,0,Sports and travel,1,79.611,0,1/31/19
689-16-9784,0,Food and beverages,6,294.651,0,3/11/19
725-56-0833,1,Health and beauty,10,339.36,1,2/20/19
394-41-0748,1,Fashion accessories,9,510.9615,1,1/27/19
596-42-3999,0,Food and beverages,7,133.917,0,3/10/19
541-89-9860,1,Fashion accessories,3,253.512,1,2/15/19
173-82-9529,1,Fashion accessories,10,398.475,1,1/26/19
563-36-9814,0,Electronic accessories,1,80.661,0,2/13/19
308-47-4913,1,Sports and travel,10,548.73,1,3/9/19
885-17-6250,1,Health and beauty,1,83.727,1,3/6/19
726-27-2396,1,Health and beauty,5,406.875,1,1/24/19
316-01-3952,1,Food and beverages,5,284.9175,1,3/13/19
760-54-1821,0,Home and lifestyle,9,128.4255,0,3/15/19
793-10-3222,1,Health and beauty,6,258.678,1,3/5/19
346-12-3257,0,Electronic accessories,9,181.818,0,3/4/19
110-05-6330,1,Food and beverages,6,248.409,1,3/25/19
651-61-0874,0,Home and lifestyle,4,194.124,0,3/12/19
236-86-3015,0,Home and lifestyle,1,14.679,0,2/4/19
831-64-0259,1,Fashion accessories,5,208.6875,1,2/22/19
587-03-7455,1,Fashion accessories,7,718.7565,1,2/16/19
882-40-4577,0,Sports and travel,4,282.492,0,1/19/19
732-67-5346,0,Food and beverages,5,72.3975,0,1/11/19
725-32-9708,1,Fashion accessories,4,288.582,1,1/4/19
256-08-8343,1,Home and lifestyle,4,237.426,1,3/4/19
372-26-1506,1,Fashion accessories,5,125.055,1,1/28/19
244-08-0162,1,Health and beauty,10,359.205,1,1/2/19
569-71-4390,0,Sports and travel,2,45.927,0,1/25/19
132-23-6451,0,Health and beauty,5,110.0925,0,1/4/19
696-90-2548,0,Sports and travel,3,81.396,0,3/10/19
472-15-9636,0,Home and lifestyle,8,427.812,0,3/22/19
268-03-6164,0,Health and beauty,1,100.9155,0,1/25/19
750-57-9686,1,Home and lifestyle,4,190.596,1,1/8/19
186-09-3669,1,Health and beauty,1,85.5855,1,1/22/19
848-07-1692,1,Health and beauty,2,120.162,1,1/12/19
745-71-3520,1,Electronic accessories,7,185.367,1,2/4/19
266-76-6436,1,Food and beverages,3,121.59,1,3/28/19
740-22-2500,1,Electronic accessories,3,264.7575,1,1/23/19
271-88-8734,1,Fashion accessories,10,1020.705,1,2/8/19
301-81-8610,0,Fashion accessories,8,213.528,0,3/19/19
489-64-4354,0,Fashion accessories,1,17.094,0,3/9/19
198-84-7132,0,Fashion accessories,9,383.7645,0,1/2/19
269-10-8440,0,Health and beauty,7,390.7995,0,1/21/19
650-98-6268,1,Food and beverages,3,65.7405,1,3/20/19
741-73-3559,0,Sports and travel,5,353.1675,0,2/27/19
325-77-6186,1,Home and lifestyle,10,951.825,1,3/8/19
286-75-7818,0,Fashion accessories,2,145.068,0,1/31/19
574-57-9721,0,Food and beverages,2,90.867,0,3/8/19
459-50-7686,1,Electronic accessories,6,147.798,1,1/13/19
616-87-0016,0,Fashion accessories,7,702.219,0,3/9/19
837-55-7229,1,Fashion accessories,1,49.812,1,2/22/19
751-69-0068,0,Sports and travel,9,937.818,0,3/19/19
257-73-1380,0,Sports and travel,4,348.306,0,1/20/19
345-08-4992,0,Home and lifestyle,6,214.137,0,3/8/19
549-96-4200,0,Food and beverages,4,71.568,0,3/8/19
810-60-6344,1,Electronic accessories,8,343.224,1,2/7/19
450-28-2866,0,Food and beverages,5,91.56,0,1/15/19
394-30-3170,1,Sports and travel,8,742.812,1,3/22/19
138-17-5109,1,Home and lifestyle,9,843.0345,1,1/15/19
192-98-7397,0,Fashion accessories,1,13.419,0,1/8/19
301-11-9629,1,Sports and travel,7,140.385,1,1/15/19
390-80-5128,1,Health and beauty,1,20.1075,1,1/28/19
235-46-8343,0,Food and beverages,10,290.43,0,2/14/19
453-12-7053,0,Fashion accessories,3,144.081,0,3/10/19
296-11-7041,1,Health and beauty,1,28.4235,1,1/12/19
449-27-2918,1,Sports and travel,1,41.076,1,3/26/19
